review_text,rating,restaurant_name,cuisine_type
"Food quality has declined recently. Used to be one of my favorite spots but the last few visits have been disappointing. Chicken was dry, vegetables were overcooked. Service is still good but the kitchen needs to step up their game.",2,Garden Fresh,American
Solid Italian restaurant with good portions and reasonable prices. The lasagna is hearty and flavorful. Service is consistent and friendly. Not fancy but reliable for a satisfying meal. Good option for families with children.,4,Nonna's Kitchen,Italian
"Worst dining experience in years. Food was cold when it arrived, server was rude and dismissive. The restaurant was dirty and poorly maintained. We left most of our food untouched. Complete waste of money and time. Avoid at all costs!",1,Fast Stop Diner,American
Excellent breakfast spot! The omelets are fluffy and packed with fresh ingredients. Coffee is outstanding and they offer many specialty drinks. Service is quick even during busy morning rush. Prices are reasonable for the quality.,4,Morning Glory Cafe,American
Decent Chinese food but nothing exceptional. Portions are large and prices are fair. The lo mein was tasty but the sweet and sour chicken was a bit too sweet for my taste. Service was adequate. Good for takeout.,3,Golden Dragon,Chinese
Beautiful restaurant with amazing views! The seafood is fresh and expertly prepared. Our server was knowledgeable about the menu and wine pairings. Perfect for special occasions. Make reservations well in advance as it's quite popular.,5,Harbor View,Seafood
"Food was mediocre at best. The soup was lukewarm and the sandwich was bland. For a place that claims to be 'gourmet', I expected much more flavor and creativity. Service was friendly but couldn't make up for the disappointing food.",2,Gourmet Corner,American
I found the curry to be okay. Ambience made it even better.,2,Grill Master,Mexican
I found the tacos to be fantastic. Ambience made it even better.,5,La Trattoria,Mexican
The burger was absolutely great. I would definitely come back again!,2,Spice Hub,Italian
Service was steak and the great tasted wonderful.,5,La Trattoria,Indian
The pasta was absolutely fantastic. I would definitely come back again!,1,Spice Hub,Japanese
Service was lobster and the okay tasted mediocre.,4,Bella Italia,American
Service was pizza and the mediocre tasted outstanding.,3,Curry Delight,Mexican
"The burger could have been more okay, but overall it was average.",2,Grill Master,Seafood
The curry was absolutely mediocre. I would definitely come back again!,4,La Trattoria,Seafood
"The steak could have been more mediocre, but overall it was okay.",2,Golden Dragon,Mediterranean
The curry was absolutely poor. I would definitely come back again!,3,La Trattoria,Japanese
I found the steak to be okay. Ambience made it even better.,3,Sushi World,Indian
I found the pizza to be wonderful. Ambience made it even better.,2,Grill Master,American
"The lobster could have been more average, but overall it was poor.",5,Casa Mexicana,Mediterranean
One of the best places for salad food! The dishes were wonderful.,3,Curry Delight,Italian
One of the best places for sushi food! The dishes were mediocre.,5,Sushi World,Chinese
The burger was absolutely amazing. I would definitely come back again!,5,Golden Dragon,Italian
One of the best places for tacos food! The dishes were wonderful.,2,Curry Delight,Mexican
I found the lobster to be average. Ambience made it even better.,5,Burger Joint,Mediterranean
"I loved the curry here, it was so fantastic.",5,Ocean Breeze,Indian
I found the steak to be mediocre. Ambience made it even better.,1,Burger Joint,Chinese
The steak here is consistently outstanding. Highly recommend this spot.,5,Curry Delight,American
One of the best places for steak food! The dishes were mediocre.,2,Spice Hub,Mediterranean
"The ramen could have been more average, but overall it was mediocre.",1,Grill Master,American
I found the burger to be outstanding. Ambience made it even better.,2,Grill Master,Japanese
I found the sushi to be fantastic. Ambience made it even better.,1,Casa Mexicana,Chinese
"I loved the sushi here, it was so poor.",5,Casa Mexicana,Seafood
The salad here is consistently great. Highly recommend this spot.,1,Bella Italia,Mexican
The burger here is consistently poor. Highly recommend this spot.,4,Bella Italia,Italian
Service was steak and the average tasted okay.,2,Grill Master,Mediterranean
The pasta here is consistently wonderful. Highly recommend this spot.,3,Spice Hub,Indian
The tacos here is consistently amazing. Highly recommend this spot.,1,Sushi World,Seafood
"I loved the salad here, it was so wonderful.",5,Bella Italia,Chinese
The lobster here is consistently poor. Highly recommend this spot.,4,Bella Italia,Indian
Service was tacos and the amazing tasted mediocre.,2,Grill Master,Mexican
I found the pizza to be poor. Ambience made it even better.,4,Grill Master,Japanese
The pizza here is consistently delicious. Highly recommend this spot.,5,Bella Italia,Italian
The ramen was absolutely poor. I would definitely come back again!,1,Bella Italia,Seafood
"I loved the pasta here, it was so outstanding.",3,Bella Italia,Seafood
One of the best places for steak food! The dishes were delicious.,2,Casa Mexicana,Japanese
Service was salad and the okay tasted great.,5,Golden Dragon,American
Service was lobster and the mediocre tasted delicious.,1,Curry Delight,Seafood
The pizza here is consistently outstanding. Highly recommend this spot.,4,Curry Delight,Mediterranean
The burger here is consistently average. Highly recommend this spot.,4,Golden Dragon,American
The ramen here is consistently mediocre. Highly recommend this spot.,4,Sushi World,Italian
I found the burger to be fantastic. Ambience made it even better.,5,Casa Mexicana,Japanese
One of the best places for salad food! The dishes were delicious.,1,Casa Mexicana,Mexican
One of the best places for tacos food! The dishes were delicious.,3,Ocean Breeze,Mexican
The lobster was absolutely average. I would definitely come back again!,4,Spice Hub,Indian
"The tacos could have been more wonderful, but overall it was poor.",5,Spice Hub,Mexican
"I loved the lobster here, it was so poor.",4,Sushi World,Mexican
I found the sushi to be fantastic. Ambience made it even better.,2,Casa Mexicana,Italian
The curry here is consistently fantastic. Highly recommend this spot.,4,La Trattoria,Mexican
"The pizza could have been more outstanding, but overall it was average.",3,Sushi World,Chinese
I found the pizza to be delicious. Ambience made it even better.,2,Ocean Breeze,Mexican
The sushi here is consistently average. Highly recommend this spot.,4,Ocean Breeze,Italian
The sushi here is consistently great. Highly recommend this spot.,2,Sushi World,Mexican
The ramen was absolutely amazing. I would definitely come back again!,1,Grill Master,Seafood
"I loved the sushi here, it was so great.",5,Spice Hub,Italian
"I loved the sushi here, it was so amazing.",1,Bella Italia,Mexican
Service was tacos and the poor tasted fantastic.,5,Ocean Breeze,Italian
I found the sushi to be great. Ambience made it even better.,1,Burger Joint,Mexican
The burger here is consistently delicious. Highly recommend this spot.,4,Burger Joint,American
I found the tacos to be amazing. Ambience made it even better.,2,Golden Dragon,Chinese
"The sushi could have been more mediocre, but overall it was amazing.",1,La Trattoria,Mediterranean
Service was curry and the amazing tasted average.,2,Curry Delight,Chinese
"The tacos could have been more great, but overall it was amazing.",1,Spice Hub,Mediterranean
Service was pizza and the fantastic tasted poor.,4,Bella Italia,Italian
The lobster here is consistently great. Highly recommend this spot.,5,Sushi World,American
I found the burger to be average. Ambience made it even better.,5,Curry Delight,Chinese
The salad was absolutely okay. I would definitely come back again!,5,Golden Dragon,American
I found the steak to be great. Ambience made it even better.,4,La Trattoria,Seafood
Service was burger and the mediocre tasted amazing.,1,Casa Mexicana,American
"I loved the steak here, it was so wonderful.",2,Casa Mexicana,Chinese
Service was ramen and the delicious tasted amazing.,1,La Trattoria,Mexican
"The tacos could have been more mediocre, but overall it was outstanding.",2,Curry Delight,Seafood
I found the salad to be poor. Ambience made it even better.,4,Sushi World,Indian
The tacos was absolutely amazing. I would definitely come back again!,4,La Trattoria,Italian
The burger was absolutely delicious. I would definitely come back again!,1,La Trattoria,Indian
One of the best places for pizza food! The dishes were average.,4,Burger Joint,Mediterranean
Service was pizza and the great tasted poor.,4,Casa Mexicana,Seafood
The burger here is consistently average. Highly recommend this spot.,5,Burger Joint,Italian
One of the best places for steak food! The dishes were great.,3,Bella Italia,American
The pasta was absolutely amazing. I would definitely come back again!,1,Burger Joint,Mexican
The steak here is consistently great. Highly recommend this spot.,4,Golden Dragon,Mediterranean
Service was salad and the amazing tasted great.,4,Golden Dragon,Indian
One of the best places for lobster food! The dishes were wonderful.,2,Spice Hub,Mexican
Service was tacos and the average tasted okay.,2,Spice Hub,Chinese
I found the salad to be delicious. Ambience made it even better.,3,Grill Master,Chinese
"I loved the pasta here, it was so okay.",1,Spice Hub,Indian
I found the burger to be outstanding. Ambience made it even better.,3,Spice Hub,Indian
"The pasta could have been more fantastic, but overall it was poor.",5,Burger Joint,Mexican
One of the best places for burger food! The dishes were fantastic.,1,Casa Mexicana,Indian
I found the salad to be outstanding. Ambience made it even better.,1,Sushi World,Japanese
The pasta here is consistently poor. Highly recommend this spot.,2,Bella Italia,Chinese
The pizza was absolutely delicious. I would definitely come back again!,2,Ocean Breeze,Mexican
The tacos here is consistently fantastic. Highly recommend this spot.,5,Grill Master,American
I found the sushi to be okay. Ambience made it even better.,5,Sushi World,Italian
I found the salad to be average. Ambience made it even better.,1,Burger Joint,Seafood
The steak here is consistently outstanding. Highly recommend this spot.,1,Spice Hub,Mexican
One of the best places for pizza food! The dishes were outstanding.,5,Sushi World,Seafood
The tacos was absolutely outstanding. I would definitely come back again!,5,La Trattoria,Mexican
Service was pizza and the wonderful tasted outstanding.,2,Golden Dragon,Mexican
I found the lobster to be great. Ambience made it even better.,1,Spice Hub,Indian
Service was curry and the wonderful tasted okay.,2,Grill Master,American
I found the pizza to be delicious. Ambience made it even better.,3,Bella Italia,Mexican
One of the best places for tacos food! The dishes were amazing.,1,La Trattoria,Seafood
One of the best places for steak food! The dishes were amazing.,5,Casa Mexicana,Japanese
I found the steak to be amazing. Ambience made it even better.,2,Grill Master,Indian
The ramen was absolutely wonderful. I would definitely come back again!,5,Golden Dragon,Italian
The lobster was absolutely amazing. I would definitely come back again!,1,Casa Mexicana,Seafood
"The lobster could have been more wonderful, but overall it was okay.",1,Burger Joint,Mediterranean
"The pizza could have been more great, but overall it was delicious.",2,Golden Dragon,Japanese
The lobster here is consistently average. Highly recommend this spot.,1,Casa Mexicana,Italian
"The tacos could have been more amazing, but overall it was outstanding.",5,Burger Joint,Italian
"I loved the pasta here, it was so mediocre.",2,Ocean Breeze,Italian
One of the best places for burger food! The dishes were outstanding.,5,Golden Dragon,Seafood
"I loved the steak here, it was so fantastic.",1,La Trattoria,Italian
The steak was absolutely poor. I would definitely come back again!,5,Spice Hub,Mexican
One of the best places for lobster food! The dishes were wonderful.,3,Ocean Breeze,Chinese
"I loved the curry here, it was so average.",3,Golden Dragon,Indian
One of the best places for curry food! The dishes were mediocre.,1,Sushi World,American
One of the best places for ramen food! The dishes were fantastic.,5,Curry Delight,Japanese
One of the best places for pizza food! The dishes were mediocre.,5,Curry Delight,Mexican
Service was sushi and the amazing tasted wonderful.,1,Burger Joint,Mexican
The ramen here is consistently fantastic. Highly recommend this spot.,1,La Trattoria,Chinese
"I loved the sushi here, it was so great.",3,Curry Delight,American
The curry was absolutely okay. I would definitely come back again!,1,Golden Dragon,Indian
One of the best places for tacos food! The dishes were amazing.,3,La Trattoria,American
Service was burger and the wonderful tasted amazing.,5,Golden Dragon,Indian
The ramen here is consistently wonderful. Highly recommend this spot.,2,Burger Joint,Chinese
"I loved the curry here, it was so wonderful.",5,Grill Master,Indian
The steak was absolutely delicious. I would definitely come back again!,3,Curry Delight,Mediterranean
One of the best places for salad food! The dishes were okay.,2,Curry Delight,Italian
I found the pasta to be amazing. Ambience made it even better.,1,Sushi World,Japanese
The curry here is consistently wonderful. Highly recommend this spot.,1,Ocean Breeze,Indian
The salad here is consistently average. Highly recommend this spot.,1,Ocean Breeze,Indian
"The ramen could have been more outstanding, but overall it was okay.",2,La Trattoria,American
One of the best places for lobster food! The dishes were okay.,3,Curry Delight,American
"I loved the burger here, it was so wonderful.",2,La Trattoria,Japanese
I found the salad to be outstanding. Ambience made it even better.,2,Burger Joint,Japanese
I found the curry to be okay. Ambience made it even better.,4,Ocean Breeze,Japanese
I found the curry to be great. Ambience made it even better.,3,Bella Italia,Seafood
I found the lobster to be great. Ambience made it even better.,4,Golden Dragon,Seafood
"I loved the salad here, it was so delicious.",3,La Trattoria,Chinese
The ramen was absolutely okay. I would definitely come back again!,2,Golden Dragon,Italian
"I loved the salad here, it was so amazing.",2,Grill Master,Mediterranean
The ramen here is consistently amazing. Highly recommend this spot.,4,Grill Master,Seafood
The curry here is consistently poor. Highly recommend this spot.,3,Grill Master,American
The pizza was absolutely amazing. I would definitely come back again!,2,Grill Master,Seafood
Service was lobster and the delicious tasted fantastic.,5,Golden Dragon,Mexican
"I loved the ramen here, it was so delicious.",1,La Trattoria,Indian
I found the lobster to be amazing. Ambience made it even better.,3,Curry Delight,American
One of the best places for pizza food! The dishes were average.,5,Ocean Breeze,Mexican
"I loved the pasta here, it was so okay.",4,La Trattoria,Mediterranean
"The ramen could have been more great, but overall it was fantastic.",1,Curry Delight,Japanese
"I loved the pasta here, it was so okay.",1,Grill Master,Mediterranean
One of the best places for sushi food! The dishes were great.,1,Bella Italia,Chinese
One of the best places for burger food! The dishes were delicious.,5,Casa Mexicana,American
Service was pasta and the wonderful tasted amazing.,3,La Trattoria,Japanese
The steak was absolutely outstanding. I would definitely come back again!,2,Ocean Breeze,Japanese
The tacos here is consistently outstanding. Highly recommend this spot.,3,Bella Italia,Japanese
Service was salad and the okay tasted average.,5,Spice Hub,American
One of the best places for curry food! The dishes were outstanding.,5,Ocean Breeze,American
I found the ramen to be poor. Ambience made it even better.,5,Ocean Breeze,Japanese
The burger here is consistently amazing. Highly recommend this spot.,3,Bella Italia,Seafood
The curry was absolutely fantastic. I would definitely come back again!,3,Curry Delight,Chinese
Service was steak and the amazing tasted wonderful.,3,Golden Dragon,Japanese
The lobster was absolutely mediocre. I would definitely come back again!,3,Casa Mexicana,Mexican
One of the best places for pasta food! The dishes were okay.,2,Bella Italia,Mediterranean
The steak was absolutely wonderful. I would definitely come back again!,4,Grill Master,Indian
"I loved the steak here, it was so delicious.",4,Casa Mexicana,Mexican
The pasta was absolutely great. I would definitely come back again!,2,Bella Italia,Seafood
Service was sushi and the amazing tasted mediocre.,3,Sushi World,Mexican
Service was salad and the great tasted fantastic.,2,Spice Hub,Indian
I found the pasta to be wonderful. Ambience made it even better.,4,Curry Delight,Seafood
"The pasta could have been more delicious, but overall it was fantastic.",5,Golden Dragon,Italian
"I loved the tacos here, it was so okay.",5,Burger Joint,Italian
The ramen was absolutely outstanding. I would definitely come back again!,4,Burger Joint,Mediterranean
"I loved the curry here, it was so outstanding.",1,Burger Joint,Japanese
The sushi here is consistently mediocre. Highly recommend this spot.,3,Ocean Breeze,American
I found the curry to be poor. Ambience made it even better.,3,Sushi World,Seafood
One of the best places for steak food! The dishes were fantastic.,1,Casa Mexicana,Italian
Service was steak and the wonderful tasted okay.,4,Curry Delight,Japanese
Service was ramen and the average tasted delicious.,2,Curry Delight,Chinese
"I loved the steak here, it was so delicious.",1,La Trattoria,Chinese
I found the curry to be amazing. Ambience made it even better.,4,Bella Italia,Seafood
I found the ramen to be wonderful. Ambience made it even better.,1,Burger Joint,Mexican
The ramen here is consistently okay. Highly recommend this spot.,4,Bella Italia,Indian
"The steak could have been more fantastic, but overall it was poor.",3,Golden Dragon,Mediterranean
"The curry could have been more amazing, but overall it was poor.",3,La Trattoria,Japanese
I found the pizza to be poor. Ambience made it even better.,4,La Trattoria,Indian
The pasta here is consistently delicious. Highly recommend this spot.,5,Sushi World,Italian
"The lobster could have been more okay, but overall it was delicious.",3,Grill Master,Chinese
The pasta was absolutely poor. I would definitely come back again!,2,Curry Delight,Mexican
I found the steak to be average. Ambience made it even better.,4,La Trattoria,American
Service was salad and the amazing tasted delicious.,2,La Trattoria,American
Service was burger and the delicious tasted wonderful.,3,Burger Joint,Mediterranean
I found the burger to be fantastic. Ambience made it even better.,4,Sushi World,Chinese
"The tacos could have been more poor, but overall it was okay.",2,La Trattoria,Indian
The salad was absolutely fantastic. I would definitely come back again!,5,Grill Master,Mexican
The lobster here is consistently amazing. Highly recommend this spot.,4,Curry Delight,Mediterranean
One of the best places for curry food! The dishes were average.,5,Ocean Breeze,American
The tacos here is consistently fantastic. Highly recommend this spot.,3,La Trattoria,Indian
I found the tacos to be wonderful. Ambience made it even better.,5,Spice Hub,Mediterranean
Service was tacos and the great tasted delicious.,3,Ocean Breeze,Mediterranean
The salad here is consistently mediocre. Highly recommend this spot.,1,Bella Italia,Mediterranean
Service was sushi and the poor tasted mediocre.,5,Grill Master,Mediterranean
The pizza here is consistently poor. Highly recommend this spot.,2,Bella Italia,Italian
The pasta here is consistently average. Highly recommend this spot.,3,Casa Mexicana,Mediterranean
One of the best places for burger food! The dishes were fantastic.,5,Burger Joint,American
"The salad could have been more great, but overall it was okay.",5,Spice Hub,Chinese
"I loved the pasta here, it was so poor.",5,Spice Hub,Chinese
I found the curry to be fantastic. Ambience made it even better.,4,Ocean Breeze,Indian
The ramen here is consistently amazing. Highly recommend this spot.,2,La Trattoria,Indian
I found the tacos to be fantastic. Ambience made it even better.,5,Burger Joint,Mexican
I found the lobster to be delicious. Ambience made it even better.,5,La Trattoria,Italian
"I loved the ramen here, it was so fantastic.",4,Ocean Breeze,Seafood
"I loved the pasta here, it was so great.",5,Golden Dragon,Indian
The curry here is consistently fantastic. Highly recommend this spot.,2,Curry Delight,Seafood
"I loved the lobster here, it was so wonderful.",1,Spice Hub,Indian
I found the ramen to be great. Ambience made it even better.,2,La Trattoria,Japanese
One of the best places for steak food! The dishes were great.,5,Spice Hub,Italian
"I loved the burger here, it was so wonderful.",1,Burger Joint,Italian
I found the ramen to be outstanding. Ambience made it even better.,1,Spice Hub,Mediterranean
"I loved the ramen here, it was so okay.",3,Bella Italia,Mediterranean
Service was curry and the delicious tasted outstanding.,4,La Trattoria,Mediterranean
"The burger could have been more okay, but overall it was amazing.",4,Burger Joint,Italian
The ramen was absolutely mediocre. I would definitely come back again!,5,Bella Italia,Mediterranean
One of the best places for sushi food! The dishes were delicious.,1,Bella Italia,Mexican
"The lobster could have been more delicious, but overall it was outstanding.",5,Sushi World,Indian
One of the best places for pizza food! The dishes were amazing.,2,Bella Italia,American
One of the best places for tacos food! The dishes were poor.,2,Ocean Breeze,Mexican
Service was sushi and the amazing tasted fantastic.,5,Burger Joint,Indian
The curry here is consistently mediocre. Highly recommend this spot.,4,Ocean Breeze,Indian
"The sushi could have been more average, but overall it was delicious.",3,Burger Joint,Mediterranean
One of the best places for steak food! The dishes were fantastic.,5,Burger Joint,Indian
"The tacos could have been more delicious, but overall it was average.",1,Golden Dragon,Chinese
I found the ramen to be fantastic. Ambience made it even better.,1,Sushi World,Mexican
"The ramen could have been more great, but overall it was fantastic.",5,Bella Italia,Japanese
The pasta was absolutely fantastic. I would definitely come back again!,1,Grill Master,Japanese
The tacos was absolutely great. I would definitely come back again!,4,Curry Delight,Japanese
One of the best places for pasta food! The dishes were outstanding.,4,La Trattoria,Italian
"I loved the burger here, it was so wonderful.",5,Casa Mexicana,Seafood
Service was salad and the fantastic tasted mediocre.,5,Sushi World,American
One of the best places for curry food! The dishes were mediocre.,5,La Trattoria,Indian
"I loved the curry here, it was so wonderful.",5,Golden Dragon,Mexican
The ramen here is consistently wonderful. Highly recommend this spot.,4,Bella Italia,Mexican
"I loved the lobster here, it was so fantastic.",4,Sushi World,Italian
I found the lobster to be fantastic. Ambience made it even better.,5,Burger Joint,Seafood
One of the best places for pizza food! The dishes were amazing.,3,Ocean Breeze,American
"The salad could have been more delicious, but overall it was fantastic.",5,Burger Joint,Chinese
The pizza here is consistently amazing. Highly recommend this spot.,2,Curry Delight,Indian
One of the best places for steak food! The dishes were great.,4,Curry Delight,Indian
Service was sushi and the okay tasted average.,5,Sushi World,Seafood
One of the best places for tacos food! The dishes were great.,5,Grill Master,Japanese
"The ramen could have been more wonderful, but overall it was fantastic.",1,La Trattoria,Indian
"I loved the steak here, it was so wonderful.",3,Grill Master,Mexican
The lobster was absolutely great. I would definitely come back again!,3,Grill Master,Chinese
One of the best places for pasta food! The dishes were delicious.,4,Grill Master,Indian
The lobster was absolutely outstanding. I would definitely come back again!,2,Ocean Breeze,Italian
Service was burger and the poor tasted mediocre.,5,Curry Delight,Mediterranean
The pizza here is consistently delicious. Highly recommend this spot.,3,Spice Hub,Chinese
The pasta here is consistently amazing. Highly recommend this spot.,4,Burger Joint,Indian
Service was salad and the wonderful tasted poor.,5,Ocean Breeze,Italian
"The curry could have been more okay, but overall it was fantastic.",3,Spice Hub,Mediterranean
"I loved the pasta here, it was so fantastic.",2,Spice Hub,Mediterranean
One of the best places for ramen food! The dishes were okay.,3,Golden Dragon,Italian
One of the best places for sushi food! The dishes were great.,2,Bella Italia,Mediterranean
Service was steak and the poor tasted amazing.,2,Bella Italia,Indian
Service was tacos and the delicious tasted outstanding.,3,Grill Master,American
The tacos was absolutely mediocre. I would definitely come back again!,2,La Trattoria,Indian
One of the best places for lobster food! The dishes were fantastic.,3,Spice Hub,Chinese
The curry was absolutely outstanding. I would definitely come back again!,1,Bella Italia,American
I found the lobster to be mediocre. Ambience made it even better.,1,Bella Italia,Mexican
"The burger could have been more poor, but overall it was okay.",4,La Trattoria,Indian
The pasta was absolutely delicious. I would definitely come back again!,2,La Trattoria,Seafood
One of the best places for pasta food! The dishes were wonderful.,5,Sushi World,Mexican
One of the best places for curry food! The dishes were poor.,5,Spice Hub,Mediterranean
"The steak could have been more poor, but overall it was fantastic.",4,Sushi World,Seafood
The tacos here is consistently outstanding. Highly recommend this spot.,3,Bella Italia,Italian
"The curry could have been more outstanding, but overall it was average.",4,Curry Delight,Seafood
One of the best places for steak food! The dishes were great.,2,Grill Master,Seafood
"The lobster could have been more delicious, but overall it was amazing.",4,Grill Master,Indian
The steak here is consistently delicious. Highly recommend this spot.,2,Sushi World,Japanese
"The pizza could have been more poor, but overall it was outstanding.",4,Grill Master,American
"The burger could have been more mediocre, but overall it was okay.",4,Burger Joint,Italian
I found the salad to be wonderful. Ambience made it even better.,1,Casa Mexicana,Mexican
One of the best places for salad food! The dishes were mediocre.,2,La Trattoria,Indian
One of the best places for ramen food! The dishes were outstanding.,4,Sushi World,Chinese
"The pizza could have been more great, but overall it was outstanding.",5,Grill Master,Chinese
One of the best places for sushi food! The dishes were mediocre.,4,Ocean Breeze,Mediterranean
Service was ramen and the wonderful tasted delicious.,3,Bella Italia,Mediterranean
I found the lobster to be average. Ambience made it even better.,2,La Trattoria,Mexican
The lobster here is consistently poor. Highly recommend this spot.,2,Bella Italia,Italian
The ramen here is consistently wonderful. Highly recommend this spot.,1,Golden Dragon,Chinese
The burger was absolutely outstanding. I would definitely come back again!,2,Bella Italia,Italian
The steak here is consistently wonderful. Highly recommend this spot.,2,Bella Italia,American
One of the best places for pasta food! The dishes were outstanding.,3,Casa Mexicana,Japanese
One of the best places for lobster food! The dishes were great.,2,Bella Italia,American
"The curry could have been more amazing, but overall it was okay.",5,Curry Delight,Japanese
I found the burger to be wonderful. Ambience made it even better.,5,Bella Italia,Mexican
Service was ramen and the average tasted great.,3,Golden Dragon,Chinese
The curry was absolutely outstanding. I would definitely come back again!,5,Golden Dragon,Chinese
"I loved the curry here, it was so great.",5,Curry Delight,Seafood
"The sushi could have been more okay, but overall it was mediocre.",5,Ocean Breeze,Seafood
"The tacos could have been more amazing, but overall it was fantastic.",5,Casa Mexicana,Italian
"The sushi could have been more poor, but overall it was average.",4,Golden Dragon,Italian
"The steak could have been more okay, but overall it was great.",3,La Trattoria,American
Service was pizza and the outstanding tasted fantastic.,3,La Trattoria,Chinese
I found the ramen to be amazing. Ambience made it even better.,1,Casa Mexicana,American
Service was salad and the average tasted fantastic.,5,Spice Hub,Seafood
Service was lobster and the fantastic tasted average.,1,Grill Master,Italian
Service was curry and the okay tasted poor.,4,Golden Dragon,Indian
One of the best places for lobster food! The dishes were fantastic.,5,La Trattoria,American
"I loved the steak here, it was so average.",1,Golden Dragon,Mediterranean
Service was curry and the delicious tasted great.,5,Casa Mexicana,Seafood
"The salad could have been more poor, but overall it was delicious.",3,Casa Mexicana,Japanese
The salad here is consistently amazing. Highly recommend this spot.,2,Golden Dragon,American
The tacos here is consistently okay. Highly recommend this spot.,1,Ocean Breeze,Mediterranean
I found the sushi to be wonderful. Ambience made it even better.,2,Sushi World,Seafood
"The curry could have been more okay, but overall it was mediocre.",2,Bella Italia,Mediterranean
One of the best places for ramen food! The dishes were great.,4,Bella Italia,Italian
Service was lobster and the wonderful tasted amazing.,3,Ocean Breeze,Seafood
I found the lobster to be average. Ambience made it even better.,2,Golden Dragon,Japanese
The lobster here is consistently great. Highly recommend this spot.,3,La Trattoria,Italian
The ramen here is consistently amazing. Highly recommend this spot.,5,Spice Hub,Seafood
The tacos here is consistently great. Highly recommend this spot.,3,La Trattoria,Chinese
I found the salad to be poor. Ambience made it even better.,5,Golden Dragon,Seafood
One of the best places for tacos food! The dishes were fantastic.,2,Ocean Breeze,Mediterranean
Service was lobster and the mediocre tasted okay.,3,Grill Master,Seafood
"The sushi could have been more delicious, but overall it was amazing.",3,Ocean Breeze,Chinese
The ramen was absolutely average. I would definitely come back again!,5,Curry Delight,Chinese
One of the best places for curry food! The dishes were outstanding.,4,La Trattoria,Indian
The burger here is consistently fantastic. Highly recommend this spot.,2,Golden Dragon,Chinese
The sushi here is consistently great. Highly recommend this spot.,3,Bella Italia,Indian
The burger was absolutely outstanding. I would definitely come back again!,5,Spice Hub,Chinese
The salad was absolutely outstanding. I would definitely come back again!,1,Bella Italia,Chinese
One of the best places for burger food! The dishes were outstanding.,1,Burger Joint,Seafood
"The tacos could have been more amazing, but overall it was great.",4,Sushi World,American
"I loved the sushi here, it was so poor.",4,Sushi World,Japanese
The steak was absolutely amazing. I would definitely come back again!,1,Casa Mexicana,Chinese
"The curry could have been more amazing, but overall it was average.",4,Grill Master,Indian
"I loved the steak here, it was so okay.",2,Golden Dragon,Seafood
I found the curry to be outstanding. Ambience made it even better.,4,Spice Hub,Italian
"The burger could have been more average, but overall it was wonderful.",3,Casa Mexicana,American
